"Compound Name","Formula","Mass","RT","CAS ID",D1-2X-P2-A1,D1-2X-P2-A10,D1-2X-P2-A11,D1-2X-P2-A2,D1-2X-P2-A3,D1-2X-P2-A5,D1-2X-P2-A6,D1-2X-P2-A7,D1-2X-P2-A9,D1-2X-P2-B1,D1-2X-P2-B10,D1-2X-P2-B11,D1-2X-P2-B2,D1-2X-P2-B3,D1-2X-P2-B5,D1-2X-P2--B6,D1-2X-P2-B7,D1-2X-P2-B9,D1-2X-P2-C1,D1-2X-P2-C10,D1-2X-P2-C11,D1-2X-P2-C2,D1-2X-P2-C3,D1-2X-P2-C5,D1-2X-P2-C6,D1-2X-P2-C7,D1-2X-P2-C9,D1-2X-P2-D1,D1-2X-P2-D10,D1-2X-P2--D11,D1-2X-P2-D2,D1-2X-P2-D3,D1-2X-P2-D5,D1-2X-P2-D6,D1-2X-P2-D7,D1-2X-P2-D9,D1-2X-P2-E1,D1-2X-P2-E10,D1-2X-P2-E11,D1-2X-P2-E2,D1-2X-P2-E3,D1-2X-P2-E5,D1-2X-P2-E6,D1-2X-P2-E7,D1-2X-P2-E9,D1-2X-P2-F1,D1-2X-P2-F10,D1-2X-P2-F11,D1-2X-P2-F12,D1-2X-P2-F2,D1-2X-P2-F3,D1-2X-P2-F5,D1-2X-P2-F6,D1-2X-P2-F7,D1-2X-P2-F9,D1-2X-P2-G1,D1-2X-P2-G10,D1-2X-P2-G11,D1-2X-P2-G12,D1-2X-P2-G2,D1-2X-P2-G3,D1-2X-P2-G5,D1-2X-P2-G6,D1-2X-P2-G7,D1-2X-P2-G9,D1-2X-P2-H1,D1-2X-P2-H10,D1-2X-P2-H11,D1-2X-P2-H12,D1-2X-P2-H2,D1-2X-P2-H3,D1-2X-P2-H5,D1-2X-P2-H6,D1-2X-P2-H7,D1-2X-P2-H8,D1-2X-P2-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9
,,288.0641,1.75,,15106.9307935617,,,,,,,,66109.6403119032,47327.4686256216,,,23292.2581090569,,,26483.7490172729,98940.1010600133,28875.4813226135,153293.34175098,,22556.7191772852,28173.8746106422,,22209.035997461,,66200.6466527303,26915.1247148672,,35354.2056540138,,13746.5223931641,66532.0475504721,,26878.0248375092,40970.4732190063,19770.2839163879,42852.3199413656,26619.2577208775,,22215.2455000717,,46442.121167884,,25924.5282346877,40382.3381294938,,,16340.2717905273,,,,63337.9656050425,24041.4074167236,16762.8785044051,,,,,39438.6817013,,,,,38872.8243947266,38373.3110415967,19270.6180532227,,,104981.084626165,31264.1085276751,,,,,,,43349.2912556871,97886.6844107775,,117626.987154628,143361.191493559,,50587.2439097952,63457.4364487208,73694.14257781,44644.8697672282,,11808.7948234832,79765.148276971,,73296.4591836006,,,,,,,47288.3472465892,26042.7765571289,60283.6339149927,,28424.6259313234,62970.113389835,87700.1317933847,,,51608.3616538796,,,74666.3503732723,,,,45751.1924845031,45663.9964694006,,51721.3569361656,71385.8250024821,,,,11861.320440693,,76296.7007633912,37274.604704129,88968.4222003988,,,15746.1373569945,,,,,14726.306193714,47835.4034716186,,41305.48945445,59595.9590824585,,,59490.4433371582,79431.3081332272,43893.7070566031,,92816.513495527,56077.0291244941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44979.7633328552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11829.4764488526,32789.8601173096,,,,,,
,,129.1517,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116624.22835144,22261.927394989,19674.6384354858,110073.443534042,85910.6709503175,73963.0578600694,61831.7778004759,47888.8065042571,32271.0622506409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,227.1267,1.27,,65668.9264154662,53425.6734289551,55516.55599823,54435.0137087402,59205.2124682999,58914.4020470582,50068.5684164511,55902.1398130111,48348.0259727762,59229.7975072556,48937.3628757018,54889.7223735352,48095.4523491146,48102.7636661147,51371.6201330567,52525.9926203918,64005.4910974427,42751.5124178468,58870.0185306397,57172.8818551941,45918.268134613,44876.9193167725,40514.0252099553,42244.4733273926,47349.8165238799,45871.964611145,46650.1335212403,53563.6399714051,45806.6382725067,52407.7729876708,39265.4168422852,48182.0982364356,49362.9428715821,47352.5377407762,43725.4447238159,40873.9391651161,59940.2195442401,49058.8135002441,56269.7985231067,43448.5082243652,47775.011519806,43841.5695778808,50560.0320795898,44773.6169908448,51303.6907768707,67954.2206658325,50971.314657959,,65294.4433604508,49174.1339807892,43310.3964334742,47542.5113928221,45099.2705580597,44486.3761954345,55944.4276427612,50259.8973607588,34489.0327150269,54100.6595384675,,52918.4856738908,46163.6075000611,47251.3605606876,47584.0822697753,43471.8277460785,53455.9479212342,59388.0324029846,52456.9982203674,38905.8960841065,,48661.8420186767,53794.2043576356,55384.5675941163,50377.7212672345,55921.0032905274,49386.5503566284,57263.7877536799,104045.879154053,94148.2846251295,81471.2078797457,83324.294848755,85929.5245456695,76049.6572938231,95391.8895560074,75047.8163287354,77830.3114139404,91814.9453521728,70071.9629143068,75204.6139843423,78513.5584452817,70726.9110858765,61913.3381380615,84041.1187939148,62670.866797119,60384.9089809569,85113.922378296,64692.6498373414,64102.6443876341,64217.5195640259,58626.1162673759,59143.5988246766,61539.082040451,57516.2978831481,69785.8828185883,65263.08290094,57428.8682837218,54742.2621156769,57383.5340912475,55247.066534668,57925.6324731904,54549.1579028931,52874.7826619097,50217.2764145508,72466.9174384459,54529.4641816406,59983.3350808105,58692.837925598,63579.9010404967,52262.540405974,56267.4245229034,52453.6414960328,53728.3147371827,90122.7799355165,55004.4230619506,59745.2246586913,72312.3731973266,67503.3179925843,75775.7239219819,62688.0739570313,59928.5055482788,62751.6440905762,75587.6927871092,58803.3771604614,61756.010837799,70817.9312669218,63233.3374937438,57900.6788222309,64419.9948986664,65229.1674157994,65336.9723930055,78022.4620070344,79687.3225527953,65829.5742041931,82016.5614107664,73904.4718337402,71257.196432312,74339.8912327881,72110.8818979157,77341.9449401854,43557.9790202027,60086.7401374519,50762.4354056092,52732.0572819825,51404.7848286438,51432.7525576494,44471.1269374848,46485.8272107239,54767.6458749271,49663.9124073562,50391.1541821593,46637.9374595077,49891.9804991456,45517.0690690682,45313.3100926711,43688.0613330078,57192.0103905029,45969.2346837311,52116.978152771,51815.1470570068,50434.7203781112,51665.85669772,50089.6974837646,44303.1658764649,45937.9385882263,46790.2674577026,50380.2603520623,48545.6434723664,50130.3173850404,51154.0278758698,39366.7232380372,42430.92949057,48340.9454908448,42420.4147959748,42713.7286083185,50188.8168564148,43855.2872827969,54259.2143640817,49825.4298032227,50429.1465220947,52267.7053387757,48382.0095726645,45667.6395200196,56774.0345245972,43174.2046354828,62188.1053327561,46529.0658500977,47991.1267203979,48357.0719446717,44987.5622189332,43093.5235043641,40923.7053303549,55264.81053302,50630.415371292,46901.4419792121,54540.2003343126,44723.0020549177,58624.6989038085,55578.3825504762,54253.7739775848,49364.8086785888,44992.0147750244,49683.5476125029,54686.8945775756,61647.7432038863,50360.47880336,50760.5361573486,55632.594856842,52102.9823914138,55186.4627856832,52158.3847097168,54243.2252390138
,,383.3401,11.99,,80483.3717995607,63666.4217713776,66918.263651341,56087.0877509564,69529.7888887787,77207.9675116425,68672.984641495,54367.9133183679,49039.6417439928,54388.9671901923,73355.989118927,68444.7505111696,39228.5974920999,48543.8428720283,76401.9019774325,78366.6615430677,67824.6332890719,64461.0044442293,60744.0952435305,67910.6510460816,63838.4426906127,71639.5285667418,54082.6348564434,67690.260725647,42180.9235755373,67905.6617584685,53871.0470475771,73784.2633414156,57861.6037565919,59113.7230224304,70905.6348568419,58405.9063568526,62560.9995095216,56972.319430414,62518.5711296998,68236.0016273497,66883.6784423981,48028.5184936713,52970.6557177702,66759.7908293293,58423.4937065432,58196.8915453645,43530.6426700806,61396.0980215455,43298.0525030459,66788.1129316409,67169.3389659424,65918.5491669923,72421.9462362823,43441.7156334757,63774.6026864778,73409.1031051484,43955.2154654294,69507.9574761659,69109.8818630981,55085.8586666559,96176.6147241751,65198.7095791322,78291.0743424682,61968.646042507,65213.1096711273,65795.7812678222,62665.0939003904,71238.7491008893,70077.4546127006,70556.6301760559,66301.5028852231,86930.2378308486,68581.0267969507,69390.6873785699,78604.3583687897,77954.2413302152,63558.5165355511,61824.5635922393,71656.6683766937,71081.9042931061,102236.119145306,78011.515861924,96742.3506998916,90334.438116252,112335.538684587,98369.4989245648,93642.5759675958,92593.4323852768,90288.9813908811,104513.715303981,71536.6127062732,72633.7960055422,86798.8563203884,84072.3931837077,73916.6693231699,97209.3102923889,73809.5664354606,65308.7115424082,42934.461500252,61485.4301692046,80778.3203212894,69544.6522528063,61485.6148512572,55744.8335755375,68854.7081659894,79279.4975907897,71304.1414900348,62507.7169148554,74722.01450412,79730.6690930178,69120.0325076143,66104.5610184898,79225.9999196843,58127.3253669526,45798.0585911958,73516.2610970762,55463.4914649351,72665.2465928991,79020.3538790297,67473.4551805731,75065.9460676422,50056.4122841597,57356.9727737238,70197.5838290864,76196.6981984636,58826.4957292318,71645.9901936034,50029.5909349631,48692.1831681677,61699.7373716313,56962.2443910272,79041.6833627701,42529.4447859499,53299.3566406923,64829.1674892135,68209.5280602259,79676.9716265259,64060.6762972184,57325.0710234055,50285.6816018066,72212.9172053279,48762.8988067696,69425.3247979889,83384.3382146301,76136.3705758362,63514.9303840823,63996.910665863,55194.8579894655,51602.228002962,89769.0809734879,82629.7217001263,78677.5597889458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,391.1608,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56347.6679381104,61882.3430405275,58344.9808723756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60299.2582339857,63669.8540291751,61360.1802420961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48182.4794706117,47956.2569274903,24686.6464649046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,447.2831,10.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93453.499351288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59998.3361941376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,260.1162,2.20,,79245.4614532286,,,77546.7125346075,,,,,,,,,,,161811.747292408,,77080.2488053388,,74809.8763452014,,,,66366.8083046275,65930.2195076814,,,,,67396.1499418253,,,,62346.751218366,71112.6442505036,,,83975.6659457523,,,71044.6666226244,68291.8076775376,,161882.224832698,,79403.6642567697,78687.8145446585,79352.0568072865,,76853.0083929778,,,,,,,,,,,,,,,,71978.6028158929,,,,,72012.7601864894,,,73782.6226943165,,,,97837.0430087348,,,,95020.7651811983,,,,86858.7703601966,,,,,,,,,,,,75361.5466813533,,,,,,,66319.332978607,,,,,,,,,,,,,63927.0561054727,,,61905.2399847394,,,,,,,,,,,,,,77276.7090904841,,,,,,,76464.3892905895,73316.7023190097,,,,,,,72369.9385949444,75434.7849584549,223109.944019614,69254.7927530123,,81965.0873518549,67351.3382831599,75591.6294834176,80399.2573222153,66571.0553427311,,78065.9395371667,,66219.5681749415,,60606.328202323,67661.4758826241,67377.8143774467,74208.8914816776,70262.8386676857,82018.8961856305,71278.3581884712,67589.2057003556,203752.96259256,70303.6271492398,65605.321370968,74503.0051746664,66134.4487736831,147994.769374946,73069.6256148433,57136.7546329758,57573.709990797,72221.871902475,,147915.168891846,73187.5045092682,66335.4970076486,71666.8283940827,75656.9884054411,71847.8677723866,73651.9508936713,76063.6043906154,72681.4882785441,73835.2681453484,64503.0171578143,69029.8839186931,66836.641757643,66846.5471401811,148331.091684248,132405.623202112,63924.285263281,63453.3424061436,185999.729120794,,70166.1550050423,85583.8903639947,70455.2403289547,81261.7290349717,80248.6191092637,82182.5928168692,67367.0883708784,72030.2714974989,71527.7896914413,73310.0657969218,81956.2152665436,66506.1465911761,77899.6183068515,78445.8271574854,74371.339611956,76593.5120972263,69192.9900255534,80264.5363189005
,,479.4193,12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89759.9662996821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97499.728346771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,184.1210,2.09,,89528.2642122509,82960.1179727868,80838.1108082837,80129.7459625965,79891.2655367878,87994.2578769831,139474.299771619,78066.7841015566,66542.2680290048,144349.027825097,142208.932967082,87569.8294136311,94228.2125179145,89604.8278390212,101626.275644112,146445.943474368,99143.0311997429,85249.7023926033,98717.2090236377,86133.2002969869,92532.5422415492,95994.1329613413,131043.502534605,122472.363904476,93316.0249290925,127775.72518477,93877.9854016111,104553.192955756,85897.8394146158,135188.553712403,88451.6178986324,89941.0595059943,132933.135985503,99578.096124013,80055.9161360027,89417.6279341414,105328.958743044,92161.5262638888,139368.25201422,91600.8019837559,88510.1152125015,97378.475908813,93527.0096837165,101713.284165231,89135.3023504067,91723.2245173647,105670.90730742,,102763.239004929,87081.2221784857,102598.812374654,85120.3057231749,94877.8670539398,93368.6862959293,93880.2334381366,100270.452794534,95282.8903339467,143514.396247864,,131814.402260742,89288.3850134434,97057.510949479,154018.064707918,86781.8869075092,82132.048946304,107096.369542107,95742.5337346778,70624.1281385188,,143292.836254614,90445.0923319399,90824.120425293,81579.8961878512,151348.764911874,92136.5109608435,90286.9552722132,107199.622041502,110921.146469775,100896.111963953,106207.428650653,104661.080596359,103356.027162601,102928.822425195,98382.6270261875,102626.013452069,105909.509965545,147114.736130658,144213.029760477,96118.2615257904,93923.0786437612,96049.3928863006,95031.4536181151,90516.2892909573,96021.6019625932,87565.2889918292,91384.9832760966,89168.4951616064,95699.325508862,80027.7394303775,88227.3963781206,88733.95210762,80519.892256138,89768.8553384343,84592.0321997291,83663.4418266243,82599.5993052939,75525.5475655241,84162.6144506049,83642.3357902221,78738.3436634938,81791.1661153089,69561.2282019299,91583.3569319668,85690.7146749461,78481.8266928293,88113.7636628122,88686.8763229068,84123.526774832,91731.1057331484,77578.7353492188,84268.3577642403,100396.782683259,78865.3428806764,87456.4046269819,93599.0942063941,86209.3468212809,77896.5544265705,95211.5307658846,79852.6611382621,84772.6440803093,96450.5410306004,88708.4520299027,81194.6399385124,89562.9345951482,89900.416490425,80357.4959468172,83928.9356194598,91117.8729252026,84158.4916739348,89016.2846915905,85495.2841887581,76062.1009643041,93606.9544518715,86671.8823992157,96119.5757716197,101161.445500724,86555.7681657253,89811.9485730746,75964.3081733883,64757.5504314631,66665.9899578121,67308.4456973814,108953.041966706,76982.3109886255,64120.8855588327,80560.2795816435,82042.6642609416,68288.5908046008,87021.1065249216,68015.6405081447,73606.436558478,74536.9602388904,68808.6686101816,70818.8955146734,74293.0508577177,113762.923470203,78881.5750619422,66962.8751081309,73952.2209264706,74597.0801826275,66508.020823443,69357.7520444129,73466.7449485409,97903.0318875333,67089.1099847095,68090.5856887821,74831.6766607448,72666.5370336034,64983.0048963623,66978.2154813794,65968.579134895,59284.8592428209,17078.1890288348,37186.063948041,68164.9940996342,69335.3914781779,49162.8677287292,76252.2301194358,76401.7256182564,12265.1761633568,67343.8842158368,76838.1415733145,70401.2146902912,83521.8535255864,71853.3164202496,63721.933182707,29937.1303617882,70635.0133936388,71906.3159571468,68436.4967698671,67902.6034421073,80822.7018325446,62723.7803503487,14847.1667523893,69812.065781273,16111.8958530073,22127.7332164305,67774.5573784872,73066.9277744971,15648.0797394986,11224.2643935435,18185.353275113,116027.329214594,62569.1030488493,64563.4796600183,70267.6637994547,34882.3043219147,70530.9044560737,79519.2168707204,67990.6660559747
,,242.1669,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85353.8796402251,96210.4337787081,96473.4585615283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91901.3931738177,95597.0303018641,99657.1111140917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382.72978631348,,,,,,,12186.5931319059,23619.1870631406,8513.79054156509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,285.0669,2.28,,,,,,26887.1271689328,13765.3326867092,,,,30725.1383974076,20323.2871659959,,,24543.9510474973,17175.2715406928,,,,,,15374.5953679443,,,,,,,,19232.538982136,,39221.8846417427,,,17217.2878112777,,,,,130912.278832057,,17787.4156136179,24192.7733144094,,,,30936.7083891121,,,,,,,75573.5609001281,,124789.813899311,,,,21379.6172139152,,,,36837.5691103404,13026.7473660971,59075.8581294239,306627.763674594,,,,270979.117374719,312463.454548085,,,24456.7961485639,29845.3506800651,,35825.1132318104,87453.0300584718,,33191.056989245,,,,,,,,,,,98096.3217975297,,,39822.9338264687,88992.7701541492,,,,,28230.3850888672,34129.975424846,,,73598.876675156,,,82469.2825344156,,,,,,15408.7206554994,118836.702766505,,37835.8860046329,,,,,,82826.3976973991,,,,,,81251.4235568059,,,76450.7591232711,,44130.4835465698,,35190.8898178657,,,,,,74615.2855840239,,,281175.682528481,91001.8824111855,79252.9975002888,6770.63181832083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10788.8400638733,,,10054.8789087524,14295.7463894042,,,,
,,216.0993,2.96,,107486.650193299,51697.5573388824,59937.632106659,69796.6753294832,87487.1810253291,65379.8410853273,61911.3674966737,63229.4421188813,57440.5928417968,67797.796582016,43549.635436844,48134.2243675538,55027.5422266084,50088.0048441697,50459.8541350633,49790.8567802583,48513.7688258057,44805.4218034516,59541.0571707916,41312.0100677946,41845.8078299256,46367.6520078279,44469.1528125001,45944.2179590147,43206.1134291688,57287.9223650208,41855.3263524171,55601.5433413239,42590.4199715424,46483.5033181913,50305.5201818235,46524.528348816,37505.4612119752,40835.6650325318,46075.0869282838,38181.1733812227,58472.4947370301,38358.7948045044,45251.5681882324,46844.4624257505,42361.0425534515,46232.1266731262,45541.4788605195,36725.1164616395,41672.0103216553,50036.3567285154,35212.4142609861,59025.6026153108,53688.3190846405,42719.3791569061,38379.842936569,36677.1849694977,39004.496250229,37069.0614299862,35040.9511758879,48223.0994787597,58545.610204239,40722.7226987916,29672.8854145202,45905.0711502686,33071.8437405396,40666.7204464112,45191.7907575682,42054.2717047118,34787.8064142032,61821.9895310897,49159.8766368863,74970.2134337083,29747.7895904236,53498.567424774,45727.0441029357,48710.7897040329,50390.965930771,48887.2092757261,43610.2303460999,47008.742760315,77178.1128975016,57403.2364630125,66192.3455805361,60333.1598633421,77007.314185821,57635.8301697694,54521.3575659028,57140.1222368548,60821.8684217836,67619.6227681962,48376.1129325485,50764.2186569214,51500.4887609254,45790.4561038819,51274.7008724365,52871.6470061494,51563.4095560304,43224.055744751,55571.6650703736,51215.220024887,44641.1996986085,48455.7303154907,45346.1365770263,47924.6957059631,45756.4796465607,65868.0930778198,43678.6059845276,53294.7851242673,45884.9568770295,52294.7632094267,48672.7298955689,44651.0358556212,44871.0378953476,43522.6437743682,38964.5909494477,48132.5739423524,49632.1026522522,49077.3038416443,56036.7024081117,48351.0314627381,46458.3424917449,43747.2837587431,40177.4946082756,40256.0072547454,46621.1890777741,64232.6175926515,48759.2131525269,56286.6634003144,52852.3301811217,49390.3818584824,51501.7385044403,45859.5543024751,41314.55144104,42591.3964634399,67826.7246433564,63024.3726783845,50583.2603800354,52853.984953064,50827.329864502,50330.1239345399,55308.0614688416,46507.4363753587,51700.7369705201,76520.81796019,49030.3513607633,53307.634268646,68034.4531277923,60321.800172699,57951.8977583161,52156.9478334657,52400.3540116426,48170.1594302369,57606.7788980256,29963.4427502136,28330.0505329285,44811.6591432191,36554.8400544433,34230.5176781922,33388.4440081482,21511.3899578553,18413.3586414185,26918.2687268982,23911.2796751557,29729.9610134277,30458.3677721558,24125.9406858216,26468.5636798095,24792.0929743653,19391.3344475096,16315.6433815308,31815.9863540955,27501.8419014892,23617.2196792449,28513.4379750367,24893.2353473511,20109.7024938355,18432.6166479492,30382.7157111206,10968.4417852478,26932.1203624878,24979.9196350251,29449.9330778199,26894.0780926207,28437.1960372924,10254.4319842529,11841.101392212,22063.5848668977,13984.1160406494,26050.0782734985,24214.4344535523,23123.8527427826,30974.2022760923,21804.1370698241,26160.9840327147,23177.898850937,18505.5314329834,28758.2080091095,36390.1703795164,13827.0858532104,20489.103020584,20234.052970398,29118.1756576691,15344.399253479,19498.4497333373,23326.2542210998,10688.123819458,35376.0213316193,13750.2230759125,32710.7092658387,22365.9394936218,18353.3072029189,7203.27107373048,19459.4748894349,30650.6035809326,14677.1478761902,31327.7546487427,15147.5077576904,16454.3663052063,17856.4248551025,20356.9077581483,35839.4681986466,27267.5618518675,18243.7597241822,34635.0979464722
,,449.3137,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85751.0706774704,94256.3835824964,85874.4718345658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78231.844642394,79620.7497940222,86842.7683340732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12273.5170972714,14148.2493154937,17824.5517430381,,,,,,,13525.9620783347,10059.2352966308,11221.5341339113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
